officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,4643,173.847,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,7910,174.6591,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,3784,175.8554,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,20015,176.9408,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,22300,177.6469,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,7995,178.6972,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-25,8353,179.6188,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-26,11995,175.8988,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-26,27397,176.605,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-26,33098,177.5395,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-26,2510,178.3078,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-29,6954,181.0824,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-29,36296,181.8974,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-29,24558,182.9936,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-29,7192,183.546,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,33747,175.4751,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,5744,175.9182,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,320,177.2436,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,577,178.2276,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,658,179.4604,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,489,180.4656,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,1553,181.4967,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,20429,182.9269,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,11283,183.6046,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-22,200,184.327,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-23,14226,178.0123,Common Stock
