officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-13,3196,186.6596,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-13,26114,187.7341,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-13,36295,188.4381,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-13,9395,189.4587,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-14,10580,180.4924,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-14,28335,181.4961,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-14,23469,182.2507,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-14,10289,183.3407,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-14,2327,184.0867,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,2917,178.1301,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,8768,179.1531,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,22944,180.09,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,6510,180.8338,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,20846,182.0858,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,12006,182.832,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,919,183.6655,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-15,90,184.6322,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-08,5606,187.574,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-08,59642,188.3594,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-08,9752,189.0491,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-09,6140,191.7014,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-09,32972,192.6967,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-09,24806,193.7583,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-09,10919,194.3687,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-09,163,195.2568,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,2739,183.3881,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,2766,184.8598,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,1927,185.5239,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,9767,187.0146,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,13722,187.81,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,7917,189.129,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,3948,189.7419,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,1308,191.8925,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,11305,192.7424,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,6632,193.7078,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,7373,194.7326,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-10,5596,195.3234,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-03,3160,186.1133,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-03,14566,187.2417,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-03,14672,187.7799,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-03,34355,189.0363,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-03,8247,189.8025,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-06,3913,184.2322,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-06,18431,185.2159,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-06,42774,185.9397,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-06,9882,186.8438,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-07,20821,185.3057,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-07,25498,185.8618,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-07,9076,187.0165,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-07,15249,188.1575,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-07,4356,188.7255,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,7167,182.1939,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,6005,182.9615,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,7809,184.1391,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,6794,185.3179,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,36108,186.1064,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-09-30,11117,186.8452,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-01,9486,184.5796,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-01,10825,185.3135,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-01,14577,186.7196,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-01,39932,187.3907,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-01,180,188.01,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-02,46583,189.0096,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-02,25662,189.7657,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-10-02,2755,190.5162,Common Stock
