officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-06,12500,150.4125,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-06,23772,151.4581,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-06,190,152.0189,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-07,96,150.405,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-07,48,151.46,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-01-07,89,152.5001,Common Stock
