officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-07-15,1785,170.0266,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-07-15,6693,170.9326,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-07-15,1522,171.6822,Common
SEAWELL A BROOKE,,S,SELL,2025-07-11,2562,164.2132,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-11,8883,165.1635,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-11,21838,166.332,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-11,13979,167.1897,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-11,850,167.7859,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-14,5984,162.671,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-14,22798,163.6321,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-14,16326,164.6228,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-14,3684,165.1422,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-11,2550,164.1768,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-11,23547,165.2138,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-11,36807,166.2351,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-11,11324,167.1746,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-11,772,167.7699,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-14,4941,162.7089,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-14,19824,163.702,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-14,44176,164.73,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-14,6059,165.1752,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-15,9940,169.9454,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-15,42447,170.7953,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-15,22613,171.4854,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-08,41182,159.0669,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-08,33818,159.7173,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-09,1302,161.6309,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-09,49324,162.9137,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-09,24031,163.5914,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-09,343,164.2916,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-10,18386,162.3414,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-10,29285,163.1494,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-10,27329,163.9923,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-08,49595,159.0372,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-08,705,159.5989,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-09,19922,162.9602,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-09,28199,163.6163,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-09,850,164.2981,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-10,22292,162.3193,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-10,21333,163.0789,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-07-10,5506,163.9091,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-02,1856,153.6703,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-02,10638,154.54,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-02,5675,155.4484,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-02,36662,156.7389,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-02,20169,157.2401,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-03,17324,158.4139,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-03,42970,159.3874,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-03,13758,160.125,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-03,948,160.8423,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-07-07,46971,158.1943,Common Stock
