officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
COXE TENCH,,A,BUY,2025-06-26,1799.0000,0.0000,Common
JONES HARVEY C,,A,BUY,2025-06-26,1799,0,Common Stock
HUDSON DAWN E,,A,BUY,2025-06-26,1799,0,Common Stock
Ochoa Ellen,,A,BUY,2025-06-26,1799,0,Common Stock
STEVENS MARK A,,A,BUY,2025-06-26,1799,0,Common Stock
Shah Aarti S.,,A,BUY,2025-06-26,1799,0,Common
SEAWELL A BROOKE,,A,BUY,2025-06-26,1799,0,Common Stock
LORA MELISSA,,A,BUY,2025-06-26,1799,0,Common Stock
Drell Persis,,A,BUY,2025-06-26,1799,0,Common Stock
Dabiri John,,A,BUY,2025-06-26,1799,0,Common
BURGESS ROBERT K,,A,BUY,2025-06-26,1799,0,Common Stock
Neal Stephen C,,A,BUY,2025-06-26,1799,0,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-06-25,5955,150.5096,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-06-25,53013,151.6017,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-06-25,40619,152.4496,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-06-25,65420,153.7079,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",S,SELL,2025-06-25,3188,154.3203,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-25,6892,149.9687,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-25,10967,151.1583,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-25,28055,151.8864,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-25,6860,152.6868,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-26,13561,154.6887,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-26,27941,155.5779,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-26,9953,156.2489,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-27,14355,155.9728,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-27,18411,156.7448,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-27,13013,157.6161,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-27,5201,158.428,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-24,4918,146.1433,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-24,42013,147.1666,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-24,3069,147.7522,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,3043,149.8507,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,6429,151.0466,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,24866,151.8086,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,11499,152.6631,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,28277,153.7151,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-25,886,154.352,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-26,11324,154.7779,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-26,54331,155.6449,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-26,9345,156.2868,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-20,8674,143.2326,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-20,17844,144.1641,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-20,20921,145.3569,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-20,7843,145.8638,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-23,9956,142.9474,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-23,45725,143.8318,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-24,12834,146.2951,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-24,40781,147.0417,Common Stock
SEAWELL A BROOKE,,S,SELL,2025-06-24,852,147.7665,Common Stock
STEVENS MARK A,,S,SELL,2025-06-18,608248,145.2633,Common Stock
HUANG JEN HSUN,President and CEO,F,BUY,2025-06-18,40163,144.12,Common Stock
