officer_name,officer_title,transaction_code,transaction_type,transaction_date,shares,price_per_share,security_title
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-20,10232,143.4568,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-20,27563,144.0127,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-20,8691,145.3591,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-20,3514,145.864,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-23,4937,142.8047,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-23,33194,143.7742,Common Stock
HUANG JEN HSUN,President and CEO,S,SELL,2025-06-23,11869,144.3225,Common Stock
Puri Ajay K,"EVP, Worldwide Field Ops",F,BUY,2025-06-18,38978,144.12,Common Stock
Kress Colette,EVP & Chief Financial Officer,F,BUY,2025-06-18,43099,144.12,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,9340,143.5441,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,14578,144.0359,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,5043,145.4132,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,1539,145.9002,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,3051,143.5452,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,4797,144.0371,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,1662,145.4131,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,490,145.9034,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,3020,143.5466,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,4839,144.0401,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,1699,145.4132,Common
Kress Colette,EVP & Chief Financial Officer,S,SELL,2025-06-20,442,145.9123,Common
Shoquist Debora,"EVP, Operations",F,BUY,2025-06-18,36332,144.12,Common Stock
Teter Timothy S.,"EVP, General Counsel and Sec",F,BUY,2025-06-18,37089,144.12,Common Stock
Robertson Donald F Jr,Principal Accounting Officer,F,BUY,2025-06-18,7303,144.12,Common Stock
Robertson Donald F Jr,Principal Accounting Officer,S,SELL,2025-06-20,4500,143.6598,Common Stock
COXE TENCH,,S,SELL,2025-06-09,1000000.0000,142.8046,Common
STEVENS MARK A,,S,SELL,2025-06-06,168849,141.8553,Common Stock
STEVENS MARK A,,S,SELL,2025-06-09,190000,142.5091,Common Stock
HUANG JEN HSUN,President and CEO,G,SELL,2025-06-02,660000,0,Common Stock
STEVENS MARK A,,S,SELL,2025-06-02,125836,137.7879,Common Stock
STEVENS MARK A,,S,SELL,2025-06-03,935000,140.9151,Common Stock
BURGESS ROBERT K,,S,SELL,2025-05-30,50000,134.8164,Common Stock
Dabiri John,,S,SELL,2025-05-30,660,138.80,Common
